"hoscode","hosname","hostype","address","road","mu","subdistcode","distcode","provcode","postcode","hoscodenew","bed","level_service","bedhos","hdc_regist","dep","hmain_sent","register_date","mcode","amcode","tmcode","lat","lon"
"03757","โรงพยาบาลส่งเสริมสุขภาพตำบลคำหว้า",18,"-",NULL,"02","06",20,34,"-","000375700",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3420,342006,15.36955229272976100000,105.17010798885713000000
"03758","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพะไล ตำบลโพธิ์ไทร",18,"-",NULL,"06","01",21,34,"-","000375800",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3421,342101,15.82446068007472400000,105.21938495764164000000
"03759","โรงพยาบาลส่งเสริมสุขภาพตำบลม่วงใหญ่",18,"-",NULL,"01","02",21,34,"-","000375900",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3421,342102,15.85481567463440000000,105.26855161645290000000
"03760","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตูม ตำบลม่วงใหญ่",18,"-",NULL,"06","02",21,34,"-","000376000",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3421,342102,15.87305633887049600000,105.25281110671540000000
"03761","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาขาม ตำบลสำโรง",18,"-",NULL,10,"03",21,34,"-","000376100",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3421,342103,15.69998038228854000000,105.40264444414981000000
"03762","โรงพยาบาลส่งเสริมสุขภาพตำบลสำโรง",18,"-",NULL,"05","03",21,34,"-","000376200",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3421,342103,15.74184623466521400000,105.45555207424400000000
"03763","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสองคอน ตำบลสองคอน",18,"-",NULL,"01","04",21,34,"-","000376300",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3421,342104,15.82817614760323000000,105.38059072179715000000
"03764","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสารภี",18,"-",NULL,"01","05",21,34,"-","000376400",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3421,342105,15.77792836198203100000,105.25103533248569000000
"03765","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปากห้วยม่วง ตำบลเหล่างาม",18,"-",NULL,"01","06",21,34,"-","000376500",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3421,342106,15.74323385100000000000,105.42735797000000000000
"03766","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองฟานยืน ตำบลเหล่างาม",18,"-",NULL,"05","06",21,34,"-","000376600",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3421,342106,15.75352040137490700000,105.36170833854317000000
"03767","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกก่อง ตำบลโคกก่อง",18,"-",NULL,"01","02",22,34,"-","000376700",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3422,342202,15.04418263444957100000,104.83218329507599000000
"03769","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองไฮ ตำบลหนองไฮ",18,"-",NULL,"01","03",22,34,"-","000376900",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3422,342203,14.95363720078918300000,104.73965048486878000000
"03770","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนสูง ตำบลค้อน้อย",18,"-",NULL,"05","04",22,34,"-","000377000",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3422,342204,14.89701811550442000000,104.81075967647769000000
"03771","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านค้อน้อย ตำบลค้อน้อย",18,"-",NULL,"06","04",22,34,"-","000377100",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3422,342204,14.93171407005647000000,104.80113968669070000000
"03772","โรงพยาบาลส่งเสริมสุขภาพตำบลศรีมงคล (บ้านเปือย) ตำบลโนนกาเล็น",18,"-",NULL,"03","05",22,34,"-","000377200",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3422,342205,15.03197876977060900000,104.68063961507596000000
"03773","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโพนเมือง ตำบลโนนกาเล็น",18,"-",NULL,"08","05",22,34,"-","000377300",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3422,342205,15.02218875016304000000,104.73909144901859000000
"03774","โรงพยาบาลส่งเสริมสุขภาพตำบลโคกสว่าง",18,"-",NULL,"03","06",22,34,"-","000377400",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3422,342206,14.94778673631699400000,104.87857631507597000000
"03775","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสระดอกเกษ ตำบลโคกสว่าง",18,"-",NULL,"07","06",22,34,"-","000377500",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3422,342206,14.86108915058383000000,104.83909244880556000000
"03777","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบอน ตำบลบอน",18,"-",NULL,"01","08",22,34,"-","000377700",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3422,342208,15.05737864158525000000,104.78005806101453000000
"03778","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคำก้าว ตำบลขามป้อม",18,"-",NULL,"07","09",22,34,"-","000377800",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3422,342209,14.97654662030438500000,104.82789456880550000000
"03779","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงบัง ตำบลดอนมดแดง",18,"-",NULL,"02","01",24,34,"-","000377900",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3424,342401,15.31678823000000000000,105.06679952000000000000
"03781","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าเมืองเหนือ ตำบลท่าเมือง",18,"-",NULL,"01","03",24,34,"-","000378100",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3424,342403,15.43838540000000000000,105.01347183999997000000
"03782","โรงพยาบาลส่งเสริมสุขภาพตำบลคำไฮใหญ่",18,"-",NULL,"01","04",24,34,"-","000378200",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3424,342404,15.35687674000000000000,104.97234553000000000000
"03783","โรงพยาบาลส่งเสริมสุขภาพตำบลคันไร่",18,"-",NULL,"09","01",25,34,"-","000378300",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3425,342501,15.26522164303344000000,105.30995786190033000000
"03784","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านช่องเม็ก ตำบลช่องเม็ก",18,"-",NULL,"03","02",25,34,"-","000378400",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3425,342502,15.12651307414795600000,105.45328170061111000000
"03785","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแก่งศรีโคตร ตำบลโนนก่อ",18,"-",NULL,"03","03",25,34,"-","000378500",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3425,342503,14.99997635273506800000,105.46027153730392000000
"03786","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคำก้อม ตำบลฝางคำ",18,"-",NULL,"04","05",25,34,"-","000378600",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3425,342505,15.15402493194919500000,105.35708159208298000000
"03788","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหัวสะพาน ตำบลคำเขื่อนแก้ว",18,"-",NULL,"02","06",25,34,"-","000378800",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3425,342506,15.21140357053608700000,105.46389520168304000000
"03789","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคันเปือย ตำบลคำเขื่อนแก้ว",18,"-",NULL,"05","06",25,34,"-","000378900",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3425,342506,15.26557872790537100000,105.42873680591583000000
"03790","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองอ้ม ตำบลหนองอ้ม",18,"-",NULL,"01","02",26,34,"-","000379000",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3426,342602,14.79908937664208100000,104.91905240809228000000
"03791","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาเกษม ตำบลนาเกษม",18,"-",NULL,"01","03",26,34,"-","000379100",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3426,342603,14.74295311281252700000,104.94950527647768000000
"03792","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนใหญ่ ตำบลนาเกษม",18,"-",NULL,"05","03",26,34,"-","000379200",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3426,342603,14.73739269311360500000,104.98063421911274000000
"03793","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกุดเรือ ตำบลกุดเรือ",18,"-",NULL,"01","04",26,34,"-","000379300",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3426,342604,14.65850035313401300000,104.91358728391208000000
"03794","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งช้าง ตำบลกุดเรือ",18,"-",NULL,10,"04",26,34,"-","000379400",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3426,342604,14.68799499462435400000,104.92397599018250000000
"03795","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองบัวอารี ตำบลนาห่อม",18,"-",NULL,"06","06",26,34,"-","000379500",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3426,342606,14.79247377592158600000,104.86727873517020000000
"03796","โรงพยาบาลส่งเสริมสุขภาพตำบลนาเยีย",18,"-",NULL,"02","01",29,34,"-","000379600",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3429,342901,15.05753878786956600000,105.05992104121697000000
"03797","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาจาน ตำบลนาเยีย",18,"-",NULL,10,"01",29,34,"-","000379700",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3429,342901,15.02574209819244000000,105.10561983203490000000
"03798","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาดี ตำบลนาเยีย",18,"-",NULL,"04","02",29,34,"-","000379800",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3429,342902,15.06802561230230400000,104.99318262946929000000
"03799","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาดู่ ตำบลนาดี",18,"-",NULL,10,"02",29,34,"-","000379900",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3429,342902,15.12480107513964000000,105.01979245949406000000
"03800","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาเรือง ตำบลนาเรือง",18,"-",NULL,"07","03",29,34,"-","000380000",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3429,342903,15.00732640400000000000,105.05264929000000000000
"03801","โรงพยาบาลส่งเสริมสุขภาพตำบลนาตาล",18,"-",NULL,"01","01",30,34,"-","000380100",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3430,343001,15.89658867927582000000,105.29292895901858000000
"03802","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปากแซง ตำบลพะลาน",18,"-",NULL,"03","02",30,34,"-","000380200",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3430,343002,15.93480618084030600000,105.34172406704727000000
"03803","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบก ตำบลพะลาน",18,"-",NULL,"04","02",30,34,"-","000380300",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3430,343002,15.94568701387451500000,105.31186354219847000000
"03804","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกองโพน",18,"-",NULL,"01","03",30,34,"-","000380400",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3430,343003,15.96427390699029300000,105.26537971483822000000
"03805","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านศรีคูณ ตำบลพังเคน",18,"-",NULL,"03","04",30,34,"-","000380500",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3430,343004,15.91287159769890100000,105.24827345830533000000
"03806","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพังเคน ตำบลพังเคน",18,"-",NULL,"04","04",30,34,"-","000380600",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3430,343004,15.90374017131786400000,105.22265569821116000000
"03807","โรงพยาบาลส่งเสริมสุขภาพตำบลเหล่าเสือโก้ก",18,"-",NULL,"09","01",31,34,"-","000380700",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3431,343101,15.42248296600000000000,104.91876489000000000000
"03808","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโพนเมือง",18,"-",NULL,"01","02",31,34,"-","000380800",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3431,343102,15.46552299800000000000,104.88970034000000000000
"03809","โรงพยาบาลส่งเสริมสุขภาพตำบลแพงใหญ่",18,"-",NULL,"06","03",31,34,"-","000380900",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3431,343103,15.39761794800000000000,104.89154410000000000000
"03810","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองบก ตำบลหนองบก",18,"-",NULL,"03","04",31,34,"-","000381000",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3431,343104,15.40041679900000000000,104.96257390000000000000
"03811","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดูน",18,"-",NULL,"04","04",31,34,"-","000381100",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3431,343104,15.44186956800000000000,104.96435613000000000000
"03812","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกสมบูรณ์",18,"-",NULL,"01","01",32,34,"-","000381200",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3432,343201,15.23891198911063700000,105.08261131122754000000
"03813","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแก่งโดม",18,"-",NULL,"06","01",32,34,"-","000381300",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3432,343201,15.18706805174740100000,105.14940884069165000000
"03814","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคำนกเปล้า",18,"-",NULL,12,"02",32,34,"-","000381400",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3432,343202,15.23965721398191600000,105.02457642834634000000
"03815","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบุ่งมะแลงใต้ ตำบลบุ่งมะแลง",18,"-",NULL,"04","03",32,34,"-","000381500",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3432,343203,15.26048316122467700000,105.03605421375187000000
"03816","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสว่างตก",18,"-",NULL,"08","04",32,34,"-","000381600",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3432,343204,15.30299441255966500000,105.11019073386694000000
"03817","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำขุ่น ตำบลตาเกา",18,"-",NULL,"03","01",33,34,"-","000381700",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3433,343301,14.56462134398925200000,104.91634446298428000000
"03818","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนยาง",18,"-",NULL,11,"04",33,34,"-","000381800","-","10-1 ปฐมภูมิ","-",1,21002,"",NULL,21000,3433,343304,14.47142907999982200000,104.88836198025388000000
"03819","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดอนโมกข์",18,"-",NULL,"07","03",33,34,"-","000381900",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3433,343303,14.58488034078364100000,104.84786809926209000000
"03820","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านขี้เหล็ก",18,"-",NULL,"02","02",33,34,"-","000382000",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3433,343302,14.60636695723547600000,104.88428553778624000000
"03821","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกสะอาด ตำบลโคกสะอาด",18,"-",NULL,"01","04",33,34,"-","000382100",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3433,343304,14.51300064398516900000,104.86075536693420000000
"03822","โรงพยาบาลส่งเสริมสุขภาพตำบลอำเภอเมืองยโสธร",18,"ถ.วารีราชเดช","","00","01","01",35,35000,"000382200",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350101,15.79322401000000000000,104.14090633000000000000
"03823","โรงพยาบาลส่งเสริมสุขภาพตำบลห้องข่า ",18,"-","","03","02","01",35,35000,"000382300",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350102,15.81193865676694600000,104.17743263631223000000
"03824","โรงพยาบาลส่งเสริมสุขภาพตำบลตาดทอง ",18,"-","","09","03","01",35,35000,"000382400",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350103,15.76091280900000000000,104.20416971000000000000
"03825","โรงพยาบาลส่งเสริมสุขภาพตำบลสว่าง ",18,"-","","07","04","01",35,35000,"000382500",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350104,15.84977480762475600000,104.12329643752014000000
"03826","โรงพยาบาลส่งเสริมสุขภาพตำบลคำน้ำสร้าง ",18,"-","",11,"05","01",35,35000,"000382600",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350105,15.80758219200000000000,104.03191229000000000000
"03827","โรงพยาบาลส่งเสริมสุขภาพตำบลดอนกลอย ",18,"-","",13,"05","01",35,35000,"000382700",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350105,15.83759820200000000000,104.05352675000000000000
"03828","โรงพยาบาลส่งเสริมสุขภาพตำบลสามเพีย ",18,"-","","09","06","01",35,35000,"000382800",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350106,15.92097901155244200000,104.04260817419924000000
"03829","โรงพยาบาลส่งเสริมสุขภาพตำบลดู่ทุ่ง ",18,"-","",10,"06","01",35,35000,"000382900",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350106,15.88244543337234700000,104.07735707298582000000
"03830","โรงพยาบาลส่งเสริมสุขภาพตำบลคำแดง ",18,"-","",10,"07","01",35,35000,"000383000",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350107,15.94750651700000000000,104.07169889000000000000
"03831","โรงพยาบาลส่งเสริมสุขภาพตำบลคำฮี ",18,"-","","03","08","01",35,"-","000383100",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350108,15.92976968792112000000,104.12439355646234000000
"03832","โรงพยาบาลส่งเสริมสุขภาพตำบลทุ่งแต้ ",18,"-","","01","09","01",35,35000,"000383200",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350109,15.89408841291283800000,104.18235183140166000000
"03833","โรงพยาบาลส่งเสริมสุขภาพตำบลสิงห์",18,"-","","03",10,"01",35,35000,"000383300",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350110,15.82174401400000000000,104.22727605000000000000
"03834","โรงพยาบาลส่งเสริมสุขภาพตำบลนาสะไมย์",18,"-","","01",11,"01",35,35000,"000383400",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350111,15.88116714401775700000,104.24125808338408000000
"03835","โรงพยาบาลส่งเสริมสุขภาพตำบลหนองหอย",18,"-","","08",12,"01",35,35000,"000383500",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350112,15.73365585644078400000,104.14397513642825000000
"03836","โรงพยาบาลส่งเสริมสุขภาพตำบลหนองหิน ",18,"-","","01",13,"01",35,35000,"000383600",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350113,15.85222767989849200000,104.26126174317733000000
"03837","โรงพยาบาลส่งเสริมสุขภาพตำบลโนนค้อ ",18,"-","","03",18,"01",35,35000,"000383700",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350118,15.86390376700000000000,104.31817667000000000000
"03838","โรงพยาบาลส่งเสริมสุขภาพตำบลหนองคู",18,"-","","01",14,"01",35,35000,"000383800",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350114,15.78056647400000000000,104.26617546000000000000
"03839","โรงพยาบาลส่งเสริมสุขภาพตำบลหนองบัว ",18,"-","","04",12,"01",35,35000,"000383900",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350112,15.71967594599046000000,104.19009653134640000000
"03840","โรงพยาบาลส่งเสริมสุขภาพตำบลขุมเงิน",18,"-","","01",15,"01",35,35000,"000384000",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350115,15.72277234955865500000,104.21434837745323000000
"03842","โรงพยาบาลส่งเสริมสุขภาพตำบลหนองเรือ",18,"-","","02",17,"01",35,35000,"000384200",0,"10-1 ปฐมภูมิ",0,1,21002,"","2011-04-20",21000,3501,350117,15.85588433606744700000,104.21076893860777000000
"03843","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกยาว ตำบลทรายมูล",18,"-","","08","01","02",35,35170,"000384300",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3502,350201,15.98746484605382500000,104.24061924645298000000
"03844","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดู่ลาด ตำบลดู่ลาด",18,"-","","01","02","02",35,35170,"000384400",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3502,350202,16.00090518109730000000,104.18536952811701000000
"03845","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสีสุก ตำบลดู่ลาด",18,"-","","05","02","02",35,35170,"000384500",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3502,350202,16.01449028500000000000,104.20747210000000000000
"03846","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคำครตา ตำบลดงมะไฟ",18,"-","","03","03","02",35,35170,"000384600",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3502,350203,15.95313240800000000000,104.11988474000000000000
"03848","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาเวียง ตำบลนาเวียง",18,"-","","01","04","02",35,35170,"000384800",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3502,350204,16.06913378477778700000,104.14158893697777000000
"03849","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไผ่ ตำบลไผ่",18,"-","","03","05","02",35,35170,"000384900",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3502,350205,15.90766294300000000000,104.29187271000000000000
"03850","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกกลาง ตำบลไผ่",18,"-","","06","05","02",35,35170,"000385000",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3502,350205,15.92445450800000000000,104.31283437000000000000
"03851","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองแก ตำบลกุดชุม",18,"-","","07","01","03",35,35140,"000385100",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3503,350301,16.14084813011152500000,104.31843403338712000000
"03852","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนเปือย ตำบลโนนเปือย",18,"-","","01","02","03",35,35140,"000385200",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3503,350302,16.00376756059568000000,104.37318411392152000000
"03853","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกำแมด ตำบลกำแมด",18,"-","","01","03","03",35,35140,"000385300",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3503,350303,15.92097528600000000000,104.35722226000000000000
"03854","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหัวงัว ตำบลกำแมด",18,"-","","02","03","03",35,"-","000385400",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3503,350303,15.95689463770958100000,104.38828309144537000000
"03855","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาโส่ ตำบลนาโส่",18,"-","","01","04","03",35,"-","000385500",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3503,350304,15.95560123500000000000,104.30011408000000000000
"03856","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหัวนา ตำบลห้วยแก้ง",18,"-","","06","05","03",35,"-","000385600",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3503,350305,16.02686102267746000000,104.25801611973179000000
"03857","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองหมี ตำบลหนองหมี",18,"-","","01","06","03",35,"-","000385700",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3503,350306,16.05206948500000000000,104.27687466000000000000
"03858","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโพนงาม ตำบลโพนงาม",18,"-","",16,"07","03",35,"-","000385800",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3503,350307,16.03434459745412600000,104.17388308398154000000
"03859","สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี ",18,"-","",17,"07","03",35,"-","000385900",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3503,350307,16.06849202249610000000,104.19651653916208000000
"03860","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคำน้ำสร้าง ตำบลคำน้ำสร้าง",18,"-","","03","08","03",35,"-","000386000",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3503,350308,16.09302275600798000000,104.25783387396030000000
"03861","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคำผักกูด ตำบลหนองแหน",18,"-","","02","09","03",35,"-","000386100",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3503,350309,16.11622863190055500000,104.23019004704724000000
"03862","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนประทาย ตำบลหนองแหน",18,"-","","09","09","03",35,"-","000386200",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3503,350309,16.19936428631086400000,104.26966008934096000000
"03863","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านย่อ ตำบลย่อ",18,"-","",11,"02","04",35,"-","000386300",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3504,350402,15.71606330784405000000,104.25016434495240000000
"03864","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสงเปือย ตำบลสงเปือย",18,"-","","01","03","04",35,"-","000386400",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3504,350403,15.65213095000000000000,104.24703598000000000000
"03865","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโพนทัน ตำบลโพนทัน",18,"-","","01","04","04",35,"-","000386500",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3504,350404,15.69109061200000000000,104.27218861000000000000
"03866","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงเจริญ ตำบลดงเจริญ",18,"-","","03",13,"04",35,"-","000386600",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3504,350413,15.68009021400000000000,104.28631771000000000000
"03867","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งมน ตำบลทุ่งมน",18,"-","","07","05","04",35,"-","000386700",0,"10-1 ปฐมภูมิ",0,1,21002,"",NULL,21000,3504,350405,15.74072910800000000000,104.30253433000000000000
